,Popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,Code
116,36,0.545,0.823,3,-7.866,0,0.0357,0.00624,0.000589,0.103,0.905,99.117,183351,4,1
117,54,0.801,0.637,0,-6.406,1,0.0565,0.169,3.75e-05,0.0925,0.769,77.012,218360,4,1
118,61,0.568,0.829,7,-7.066,1,0.0303,0.218,0.00418,0.0976,0.79,124.201,348293,4,1
119,59,0.545,0.365,6,-8.97,1,0.0396,0.136,4.86e-06,0.201,0.233,150.125,210166,4,1
120,37,0.488,0.775,4,-9.387,1,0.0567,0.0435,0.000443,0.181,0.826,81.004,205506,4,1
121,76,0.717,0.577,8,-5.436,1,0.0491,0.708,0.00428,0.0899,0.235,104.927,185520,3,1
122,72,0.724,0.603,10,-6.261,0,0.0317,0.183,0.000469,0.0948,0.569,111.493,240880,4,1
123,54,0.47,0.913,7,-10.196,1,0.0343,6.59e-05,0.267,0.222,0.977,130.425,145533,4,1
124,38,0.356,0.899,3,-6.211,1,0.243,0.00755,0.0,0.28,0.456,140.82,177547,4,1
125,56,0.761,0.797,11,-4.818,0,0.0645,0.123,1.03e-05,0.196,0.782,119.975,182619,4,1
126,42,0.3,0.194,6,-19.867,1,0.038,0.949,0.95,0.139,0.0887,172.835,392792,4,1
127,55,0.289,0.841,8,-4.33,1,0.146,0.00582,0.00769,0.267,0.399,183.17,208134,3,1
128,53,0.616,0.824,6,-3.646,0,0.128,0.00658,0.0257,0.3,0.206,125.024,205208,4,1
129,59,0.688,0.737,6,-9.31,0,0.0678,0.0769,0.641,0.114,0.666,131.042,194760,4,1
130,64,0.653,0.875,2,-5.815,0,0.0274,0.00976,1.03e-05,0.329,0.61,109.988,195371,4,1
131,43,0.683,0.47,11,-15.561,1,0.0494,0.0268,0.827,0.11,0.205,128.02,293709,4,1
132,46,0.615,0.829,4,-8.118,0,0.0413,0.181,0.00153,0.0849,0.607,118.004,244250,4,1
133,60,0.747,0.571,9,-12.9,0,0.086,0.48,1.05e-06,0.242,0.965,91.838,220093,4,1
134,60,0.536,0.704,10,-7.612,1,0.0417,0.0932,0.0,0.227,0.702,103.134,142819,4,1
135,27,0.541,0.882,3,-3.929,0,0.219,0.158,0.0,0.079,0.423,142.867,218373,4,1
136,36,0.567,0.631,0,-8.739,1,0.0451,0.216,2.49e-06,0.426,0.673,135.858,243867,4,1
137,63,0.713,0.868,0,-6.644,0,0.0305,0.00206,9.23e-05,0.225,0.641,119.98,242960,4,1
138,34,0.59,0.608,1,-9.083,1,0.0266,0.207,0.733,0.211,0.536,129.393,254938,4,1
139,57,0.167,0.921,6,-4.881,0,0.061,0.000141,0.0716,0.239,0.315,168.225,262227,4,1
140,53,0.553,0.828,9,-4.091,1,0.0609,0.11,0.0,0.2,0.902,152.638,201194,4,1
141,47,0.351,0.129,8,-18.496,0,0.0318,0.819,0.904,0.115,0.0379,107.649,191222,4,1
142,52,0.577,0.464,7,-7.943,1,0.024,0.0979,1.3e-06,0.154,0.346,90.557,219507,4,1
143,63,0.758,0.779,8,-4.405,1,0.038,0.000717,0.0,0.109,0.588,124.987,147908,4,1
144,67,0.466,0.763,11,-7.748,0,0.0391,0.0542,0.0,0.119,0.473,123.539,204800,4,1
145,45,0.493,0.711,5,-5.994,1,0.0684,0.00496,2.71e-05,0.519,0.313,138.032,225068,4,1
146,46,0.592,0.8,7,-6.086,1,0.0285,0.0225,6.35e-05,0.17,0.838,138.759,206333,4,1
147,44,0.678,0.612,4,-9.051,0,0.0291,0.793,0.00647,0.0945,0.589,101.046,287693,4,1
148,54,0.574,0.691,6,-7.805,0,0.0336,0.0142,0.000431,0.169,0.767,95.009,136632,4,1
149,0,0.505,0.255,1,-9.576,1,0.0663,0.831,2.45e-06,0.24,0.343,109.94,183345,4,1
150,47,0.505,0.928,5,-5.457,0,0.0319,0.000193,0.134,0.205,0.513,138.023,170080,4,1
151,46,0.535,0.605,5,-9.144,0,0.287,0.51,0.286,0.188,0.662,202.06,210653,4,1
152,42,0.106,0.116,0,-14.665,1,0.035,0.933,0.931,0.0994,0.0621,58.5,181107,4,1
153,33,0.403,0.614,5,-8.007,0,0.0735,0.00118,0.0018,0.315,0.496,84.964,185476,4,1
154,51,0.543,0.927,0,-5.209,1,0.0755,0.000342,0.543,0.0327,0.354,120.097,182333,4,1
155,27,0.428,0.938,4,-5.434,0,0.148,0.0144,0.0,0.372,0.18,105.691,205266,4,1
156,31,0.377,0.976,6,-3.686,0,0.217,0.000107,0.0936,0.142,0.264,116.062,141560,4,1
157,40,0.593,0.756,2,-7.287,1,0.0548,0.0454,0.00201,0.311,0.283,103.12,235164,4,1
158,34,0.28,0.406,8,-8.106,1,0.0312,0.507,0.0975,0.117,0.188,172.765,294573,4,1
159,43,0.866,0.48,5,-11.812,0,0.155,0.206,0.000163,0.0993,0.566,144.905,236280,4,1
160,50,0.415,0.72,7,-11.177,1,0.0492,0.481,0.0,0.185,0.619,176.785,234627,4,1
161,59,0.14,0.641,0,-10.435,1,0.0422,0.000243,0.837,0.108,0.352,170.207,256573,4,1
162,55,0.572,0.747,10,-6.237,1,0.0943,0.13,2.93e-05,0.108,0.3,158.051,155275,4,1
163,47,0.41,0.0123,0,-29.161,0,0.0419,0.993,0.9,0.0871,0.0355,119.505,320000,4,1
164,26,0.0765,0.0521,5,-18.188,0,0.0431,0.826,0.886,0.092,0.0271,80.809,330448,3,1
165,40,0.513,0.956,5,-5.407,0,0.159,0.00381,0.0,0.391,0.458,150.181,195147,4,1
166,43,0.487,0.797,6,-5.634,0,0.0697,9.37e-05,0.0826,0.248,0.452,156.016,175432,4,1
167,49,0.64,0.486,2,-10.322,1,0.0268,0.568,0.0202,0.7,0.895,112.313,231131,4,1
168,50,0.226,0.585,2,-9.965,1,0.0343,0.128,0.0233,0.112,0.655,180.495,234600,3,1
169,34,0.393,0.649,4,-9.103,0,0.0541,0.69,0.0,0.159,0.697,114.054,177840,4,1
170,61,0.415,0.782,2,-6.745,1,0.0461,0.0011,0.0,0.14,0.564,135.029,148480,4,1
171,42,0.284,0.0791,8,-23.738,1,0.0315,0.967,0.904,0.143,0.036,79.932,371625,4,1
172,56,0.597,0.655,9,-6.188,1,0.0299,0.00473,5.15e-05,0.607,0.36,121.06,237413,4,1
173,82,0.64,0.663,0,-7.516,1,0.0374,0.201,0.00806,0.152,0.663,132.77,140773,4,1
174,16,0.777,0.693,1,-10.473,1,0.439,0.246,0.0139,0.249,0.485,126.005,447000,4,1
175,55,0.618,0.662,0,-4.797,1,0.0262,0.0028,0.000724,0.107,0.398,127.985,180187,4,1
176,54,0.598,0.853,9,-5.373,1,0.0545,0.132,0.00297,0.132,0.312,121.988,191396,1,1
177,67,0.793,0.703,0,-9.548,1,0.0581,0.000726,0.88,0.075,0.856,130.27,450800,4,1
178,62,0.478,0.366,0,-12.045,1,0.0376,0.4,0.0066,0.0984,0.291,121.683,192627,3,1
179,74,0.497,0.97,10,-4.851,0,0.0836,9.04e-05,0.000674,0.101,0.689,138.081,197200,4,1
180,44,0.74,0.606,1,-6.821,0,0.039,0.0497,0.0,0.186,0.493,95.024,157640,4,1
181,43,0.487,0.57,5,-9.199,1,0.0294,0.204,0.000115,0.152,0.864,150.184,277261,4,1
182,32,0.41,0.823,9,-6.237,1,0.0655,0.0554,0.000215,0.154,0.284,90.471,153717,4,1
183,23,0.566,0.686,9,-8.101,1,0.0403,9.78e-05,3.62e-05,0.372,0.738,120.952,180224,4,1
184,30,0.166,0.391,9,-12.97,0,0.0376,0.86,0.959,0.124,0.0398,128.072,338453,4,1
185,36,0.685,0.669,1,-6.126,1,0.0355,0.729,8.81e-05,0.112,0.38,110.003,176727,4,1
186,23,0.378,0.724,1,-6.706,0,0.0499,3.23e-06,0.247,0.172,0.603,102.996,200405,4,1
187,41,0.687,0.63,2,-5.13,1,0.031,0.0576,0.0,0.257,0.548,115.986,189635,4,1
188,44,0.59,0.762,2,-5.559,1,0.0361,0.0503,0.0,0.317,0.662,95.017,156947,4,1
189,30,0.551,0.885,9,-6.242,1,0.0424,0.212,0.086,0.53,0.789,120.033,221208,4,1
190,60,0.764,0.759,1,-5.443,0,0.0413,0.00903,0.0,0.0746,0.937,128.999,234240,4,1
191,26,0.859,0.777,7,-7.737,1,0.357,0.314,0.823,0.315,0.378,79.975,180563,4,1
192,36,0.548,0.161,2,-14.991,1,0.0326,0.861,0.000243,0.102,0.309,80.069,190900,4,1
193,42,0.478,0.589,7,-4.124,1,0.03,0.121,0.0,0.423,0.372,180.041,176026,4,1
194,32,0.504,0.471,7,-8.188,1,0.0351,0.518,0.00248,0.226,0.398,131.806,245676,4,1
195,48,0.573,0.642,8,-7.239,1,0.0279,0.0734,0.0232,0.105,0.49,120.753,301400,4,1
196,42,0.435,0.756,9,-4.275,0,0.0264,3.24e-05,0.788,0.208,0.346,85.524,394120,4,1
197,32,0.401,0.295,5,-10.624,0,0.0305,0.873,0.00096,0.0978,0.166,99.622,186827,4,1
